nb,structure,type,date
169.0,CHALLENGESPORTS.INFO,JOURNALISTE,2026-03-11
0.0,RTS,JOURNALISTE,2026-03-11
0.0,RECORD,JOURNALISTE,2026-03-11
0.0,Jolofsport.com,JOURNALISTE,2026-03-11
0.0,Taggat,JOURNALISTE,2026-03-11
0.0,Free-lance ,JOURNALISTE,2026-03-11
0.0,Mader TV,JOURNALISTE,2026-03-11
0.0,Freelance ,JOURNALISTE,2026-03-11
0.0,13 productions,JOURNALISTE,2026-03-11
0.0,APS,JOURNALISTE,2026-03-11
0.0,TFM,JOURNALISTE,2026-03-11
0.0,7Sport,JOURNALISTE,2026-03-11
0.0,SENEWEB,JOURNALISTE,2026-03-11
0.0,Les Echos ,JOURNALISTE,2026-03-11
0.0,dsprod usa ,JOURNALISTE,2026-03-11
0.0,Saloum-Vision plus,JOURNALISTE,2026-03-11
0.0,FD MEDIA ,JOURNALISTE,2026-03-11
0.0,Aladji malick tv sport ,JOURNALISTE,2026-03-11
0.0,Les Échos/ Jotaay.net,JOURNALISTE,2026-03-11
0.0,Planète sport 221,JOURNALISTE,2026-03-11
0.0,Citizen network Gambia,JOURNALISTE,2026-03-11
0.0,7.0tv,JOURNALISTE,2026-03-11
0.0,Free-lance,JOURNALISTE,2026-03-11
0.0,Freelancer,JOURNALISTE,2026-03-11
0.0,13.0tv,JOURNALISTE,2026-03-11
0.0,Freelance,JOURNALISTE,2026-03-11
0.0,L’OBSERVATEUR (GFM),JOURNALISTE,2026-03-11
0.0,ANPS,JOURNALISTE,2026-03-11
0.0,Journal de Dakar ,JOURNALISTE,2026-03-11
0.0,Sport221,JOURNALISTE,2026-03-11
0.0,Éric Favre TV,JOURNALISTE,2026-03-11
0.0,senegalnews.sn,JOURNALISTE,2026-03-11
0.0,Freesports 221,JOURNALISTE,2026-03-11
0.0,RMC (French Radio),JOURNALISTE,2026-03-11
0.0,Seneweb ,JOURNALISTE,2026-03-11
0.0,Zik fm,JOURNALISTE,2026-03-11
0.0,Oxy jeunes FM ,JOURNALISTE,2026-03-11
0.0,RFM,JOURNALISTE,2026-03-11
0.0,iGFM ,JOURNALISTE,2026-03-11
0.0,Teranga Sport News ,JOURNALISTE,2026-03-11
0.0,Le Soleil,JOURNALISTE,2026-03-11
0.0,Free-lance ,JOURNALISTE,2026-03-11
0.0,Yoor Yoor Bi,JOURNALISTE,2026-03-11
0.0,Agence de presse sénégalaise,JOURNALISTE,2026-03-11
0.0,Tfm,JOURNALISTE,2026-03-11
0.0,OXYJEUNES FM,JOURNALISTE,2026-03-11
0.0,Le Soleil,JOURNALISTE,2026-03-11
0.0,Galaxy tv Senegal ,JOURNALISTE,2026-03-11
0.0,APS,JOURNALISTE,2026-03-11
0.0,13.0 tv,JOURNALISTE,2026-03-11
0.0,Galaxy Tv ,JOURNALISTE,2026-03-11
0.0,L'AS QUOTIDIEN,JOURNALISTE,2026-03-11
0.0,Kaddu Jolof Tv ,JOURNALISTE,2026-03-11
